"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"2","0.005484000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"3","0.010849000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"4","0.015222000","192.168.0.12","192.168.0.255","NBNS","92","Name query NB PKI.GOOGLE.COM<00>"
"5","0.017007000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"6","0.021518000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"7","0.027011000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"8","0.032790000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"9","0.037914000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"10","0.042848000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"11","0.048209000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"12","0.053490000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"13","0.058863000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"14","0.064161000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"15","0.069570000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"16","0.075784000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"17","0.081242000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"18","0.085549000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"19","0.090894000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"20","0.096096000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"21","0.101509000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"22","0.106972000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"23","0.112167000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"24","0.117587000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"25","0.122839000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"26","0.128179000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"27","0.133367000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"28","0.138703000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"29","0.144044000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"30","0.149448000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"31","0.154724000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"32","0.159992000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"33","0.165296000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"34","0.170643000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"35","0.175958000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"36","0.181397000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"37","0.186929000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"38","0.192058000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"39","0.197531000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"40","0.202713000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"41","0.208187000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"42","0.213513000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"43","0.218788000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"44","0.224139000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"45","0.229553000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"46","0.234828000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
